id,cai_section,difficulty,time,km,ascent,download_link,description
130B,Fabriano,T,0:45,2^4,31,https://www.caifabriano.it/wp/cpc/?wpfb_dl=77,dummy description
130C,Fabriano,T,0:20,1^3,55,https://www.caifabriano.it/wp/cpc/?wpfb_dl=78,dummy description
134A,Fabriano,T,0:35,2^7,164,https://www.caifabriano.it/wp/cpc/?wpfb_dl=82,dummy description
123,Fabriano,E,1:00,2^7,323,https://www.caifabriano.it/wp/cpc/?wpfb_dl=54,dummy description
124,Fabriano,E,2:00,5^6,842,https://www.caifabriano.it/wp/cpc/?wpfb_dl=55,dummy description
125,Fabriano,E,1:50,4^1,803,https://www.caifabriano.it/wp/cpc/?wpfb_dl=56,dummy description
129,Fabriano,E,1:30,3^8,396,https://www.caifabriano.it/wp/cpc/?wpfb_dl=71,dummy description
135,Fabriano,E,2:10,6,706,https://www.caifabriano.it/wp/cpc/?wpfb_dl=83,dummy description
203,Gualdo Tadino,EE,3:00,8,236,https://www.caifabriano.it/wp/cpc/?wpfb_dl=195,dummy description
204,Gualdo Tadino,E,1:30,2^6,44,https://www.caifabriano.it/wp/cpc/?wpfb_dl=196,dummy description
210,Gualdo Tadino,EE,3:30,6^4,957,https://www.caifabriano.it/wp/cpc/?wpfb_dl=205,dummy description
212,Gualdo Tadino,E,2:00,5^2,790,https://www.caifabriano.it/wp/cpc/?wpfb_dl=206,dummy description
213,Gualdo Tadino,T,0:30,2^1,240,https://www.caifabriano.it/wp/cpc/?wpfb_dl=207,dummy description
214,Gualdo Tadino,E,2:30,2^9,0,https://www.caifabriano.it/wp/cpc/?wpfb_dl=208,dummy description
215,Gualdo Tadino,T,0:30,1^3,31,https://www.caifabriano.it/wp/cpc/?wpfb_dl=209,dummy description
216,Gualdo Tadino,E,2:30,4^6,272,https://www.caifabriano.it/wp/cpc/?wpfb_dl=212,dummy description
217,Gualdo Tadino,T,1:00,1^6,60,https://www.caifabriano.it/wp/cpc/?wpfb_dl=213,dummy description
218,Gualdo Tadino,E,4:00,5^9,30,https://www.caifabriano.it/wp/cpc/?wpfb_dl=214,dummy description
243,Gualdo Tadino,T,2:30,6^5,259,https://www.caifabriano.it/wp/cpc/?wpfb_dl=241,dummy description
245,Gualdo Tadino,T,2:30,7^8,206,https://www.caifabriano.it/wp/cpc/?wpfb_dl=242,dummy description
247,Gualdo Tadino,T,4:00,10^9,447,https://www.caifabriano.it/wp/cpc/?wpfb_dl=249,dummy description
249,Gualdo Tadino,T,5:00,14^5,837,https://www.caifabriano.it/wp/cpc/?wpfb_dl=263,dummy description
122A,Fabriano,E,0:30,1^5,173,https://www.caifabriano.it/wp/cpc/?wpfb_dl=53,dummy description
125A,Fabriano,E,0:30,1^4,39,https://www.caifabriano.it/wp/cpc/?wpfb_dl=57,dummy description
125B,Fabriano,E,1:10,2^7,461,https://www.caifabriano.it/wp/cpc/?wpfb_dl=58,dummy description
125C,Fabriano,E,1:00,3^4,189,https://www.caifabriano.it/wp/cpc/?wpfb_dl=59,dummy description
129A,Fabriano,E,1:25,6^4,751,https://www.caifabriano.it/wp/cpc/?wpfb_dl=72,dummy description
129B,Fabriano,E,0:25,0^8,80,https://www.caifabriano.it/wp/cpc/?wpfb_dl=73,dummy description
129C,Fabriano,E,0:25,0^8,128,https://www.caifabriano.it/wp/cpc/?wpfb_dl=74,dummy description
135A,Fabriano,E,2:15,6^3,834,https://www.caifabriano.it/wp/cpc/?wpfb_dl=84,dummy description
135B,Fabriano,E,0:45,1^8,256,https://www.caifabriano.it/wp/cpc/?wpfb_dl=85,dummy description
135C,Fabriano,E,0:40,2^4,175,https://www.caifabriano.it/wp/cpc/?wpfb_dl=86,dummy description
135D,Fabriano,E,0:30,1^6,103,https://www.caifabriano.it/wp/cpc/?wpfb_dl=87,dummy description
135E,Fabriano,E,0:15,0^5,51,https://www.caifabriano.it/wp/cpc/?wpfb_dl=88,dummy description
135F,Fabriano,E,0:30,1^2,182,https://www.caifabriano.it/wp/cpc/?wpfb_dl=89,dummy description
202AU,Gualdo Tadino,E,2:30,6^7,818,https://www.caifabriano.it/wp/cpc/?wpfb_dl=193,dummy description
202CM,Gualdo Tadino,T,1:00,3,150,https://www.caifabriano.it/wp/cpc/?wpfb_dl=194,dummy description
